Run,AUC,TSize,time,Method
simResultsRaw/pathwayPCA_sim_20201201/sim078,0.6222222222222222,0.06666666666666667,3.3732257326444,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim079,0.30666666666666664,0.08888888888888889,3.37520303328832,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim080,0.5644444444444444,0.044444444444444446,3.34259890317917,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim081,0.7177777777777778,0.06666666666666667,3.34381124973297,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim082,0.32,0.08888888888888889,3.4012423157692,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim083,0.6799999999999999,0.08888888888888889,3.32328506310781,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim084,0.6422222222222222,0.08888888888888889,3.40073510011037,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim085,0.5155555555555555,0.2,3.36288283268611,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim086,0.4311111111111111,0.08888888888888889,3.39012698332469,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim087,0.3422222222222222,0.26666666666666666,3.39374953508377,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim088,0.6222222222222222,0.17777777777777778,3.45536719957987,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim089,0.4622222222222222,0.2,3.36547318299611,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim090,0.37333333333333335,0.15555555555555556,3.29104593197505,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim091,0.31555555555555553,0.2222222222222222,3.39010374943415,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim092,0.6133333333333333,0.08888888888888889,3.36727713346481,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim093,0.45999999999999996,0.26666666666666666,3.30395616690318,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim094,0.64,0.08888888888888889,3.32584399779638,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim095,0.47555555555555556,0.28888888888888886,3.33898610273997,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim096,0.6155555555555555,0.2222222222222222,3.29138258298238,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim097,0.6222222222222222,0.2222222222222222,3.2954603155454,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim098,0.6444444444444445,0.044444444444444446,3.30521771907806,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim099,0.33333333333333337,0.08888888888888889,3.32448054949443,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim100,0.46222222222222226,0.26666666666666666,3.30133908192317,sCCA
